-------------------
distribution:  D3
variable:      ERG
type:          H
-------------------

min / max / avg rel error:    0.0000 / 0.0252 / 0.0151
min / max / avg # of scores:  0 / 28093 / 25000

---------------------------------------------------------------------------------------
              lower        upper                             rel      weight       # of
   bin        value        value          sp          sb   error      factor     scores
---------------------------------------------------------------------------------------
     1   1.0000e-03   1.0950e-03  3.9201e-10  1.6060e-13  0.0246  2.4409e+03      27925
     2   1.0950e-03   1.3760e-03  1.7959e-08  7.8011e-12  0.0244  2.3022e+03      27724
     3   1.3760e-03   1.7280e-03  2.8826e-05  1.2299e-08  0.0243  2.3439e+03      27711
     4   1.7280e-03   2.1710e-03  8.8096e-04  3.6747e-07  0.0244  2.3974e+03      27965
     5   2.1710e-03   2.7270e-03  8.1879e-04  3.3737e-07  0.0248  2.4270e+03      27707
     6   2.7270e-03   3.4250e-03  4.9195e-03  2.0441e-06  0.0245  2.4067e+03      27908
     7   3.4250e-03   4.3020e-03  2.1599e-02  8.9724e-06  0.0245  2.4072e+03      27944
     8   4.3020e-03   5.4030e-03  3.8968e-02  1.5486e-05  0.0247  2.5163e+03      27573
     9   5.4030e-03   6.7870e-03  3.1892e-02  1.2928e-05  0.0245  2.4670e+03      27819
    10   6.7870e-03   8.5250e-03  2.9079e-02  1.1926e-05  0.0250  2.4383e+03      27754
    11   8.5250e-03   1.0710e-02  2.6535e-02  1.0942e-05  0.0249  2.4250e+03      27479
    12   1.0710e-02   1.3450e-02  3.0663e-02  1.2407e-05  0.0244  2.4714e+03      27819
    13   1.3450e-02   1.6890e-02  2.9669e-02  1.1728e-05  0.0249  2.5296e+03      27792
    14   1.6890e-02   2.1220e-02  2.2205e-02  1.0445e-05  0.0252  2.1260e+03      27980
    15   2.1220e-02   2.6650e-02  5.3929e-02  3.3869e-05  0.0250  1.5923e+03      27950
    16   2.6650e-02   3.3480e-02  5.0054e-02  3.0234e-05  0.0242  1.6556e+03      27786
    17   3.3480e-02   4.2050e-02  1.9055e-02  1.1163e-05  0.0231  1.7070e+03      27654
    18   4.2050e-02   5.2820e-02  1.5100e-02  9.2102e-06  0.0230  1.6395e+03      27646
    19   5.2820e-02   6.6340e-02  3.2061e-02  2.5870e-05  0.0204  1.2393e+03      27879
    20   6.6340e-02   8.3330e-02  2.4378e-02  2.5097e-05  0.0185  9.7136e+02      27578
    21   8.3330e-02   1.0470e-01  1.7471e-02  3.0528e-05  0.0159  5.7228e+02      27748
    22   1.0470e-01   1.3150e-01  6.4779e-02  2.7532e-04  0.0107  2.3528e+02      27594
    23   1.3150e-01   1.6510e-01  8.3143e-03  3.4724e-05  0.0107  2.3944e+02      27621
    24   1.6510e-01   2.0740e-01  1.9257e-02  1.2512e-04  0.0141  1.5390e+02      27747
    25   2.0740e-01   2.6050e-01  1.5439e-02  2.7314e-04  0.0106  5.6525e+01      27903
    26   2.6050e-01   3.2720e-01  3.5734e-02  6.2588e-04  0.0106  5.7093e+01      27778
    27   3.2720e-01   4.1100e-01  7.4096e-02  1.9747e-03  0.0143  3.7522e+01      27802
    28   4.1100e-01   5.1630e-01  3.0814e-02  2.6007e-03  0.0097  1.1849e+01      27869
    29   5.1630e-01   6.4850e-01  2.0453e-01  3.7717e-02  0.0081  5.4228e+00      27834
    30   6.4850e-01   8.1450e-01  2.8826e-02  2.5189e-02  0.0051  1.1444e+00      27614
    31   8.1450e-01   1.0230e+00  2.3890e-03  8.8448e-03  0.0053  2.7010e-01      27644
    32   1.0230e+00   1.2850e+00  6.2403e-02  7.7444e-01  0.0010  8.0579e-02      27708
    33   1.2850e+00   1.6140e+00  5.7248e-04  1.1631e-02  0.0033  4.9222e-02      27965
    34   1.6140e+00   2.0270e+00  3.4099e-03  1.2733e-01  0.0014  2.6780e-02      27787
    35   2.0270e+00   2.5460e+00  1.2949e-04  8.4888e-03  0.0007  1.5254e-02      28093
    36   2.5460e+00   3.1990e+00  2.4614e-06  1.8591e-04  0.0014  1.3240e-02      27700
    37   3.1990e+00   4.0180e+00  0.0000e+00  0.0000e+00  0.0000  0.0000e+00          0
    38   4.0180e+00   5.0460e+00  0.0000e+00  0.0000e+00  0.0000  0.0000e+00          0
    39   5.0460e+00   6.3380e+00  0.0000e+00  0.0000e+00  0.0000  0.0000e+00          0
    40   6.3380e+00   7.9610e+00  0.0000e+00  0.0000e+00  0.0000  0.0000e+00          0
---------------------------------------------------------------------------------------


